row_id,model,provider,track,timestamp,total_runs,successful_runs,sr,aggregate_csv,included_summary_artifact,included_per_scenario_artifact,source_summary_relpath,source_results_relpath,source_summary_sha256,source_results_sha256,valid_jsonl_rows,redacted_rows_written,redacted_successful_runs,malformed_jsonl_lines,recompute_status,excluded_from_recompute,exclusion_reason,per_call_logs_included,full_tool_args_included,full_agent_responses_included,full_states_included,notes
1,Qwen/QwQ-32B,vllm,canonical,2026-04-20T11:31:30.545971,2400,1305,0.5437,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-20_01-49-55_Qwen_QwQ-32B/summary.json,2026-04-20_01-49-55_Qwen_QwQ-32B/results.jsonl,aac69db6f6a9e441d9b834b50f0ffd4fa7a504eff6116c4d262d68f62d440bcc,8c5e85e1277291adbebc99813f60d84bdfc275e4755e14adeff0f4545c770ada,2400,2400,1305,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
2,claude-sonnet-4-6,anthropic,canonical,2026-04-24T12:15:37.324290,800,429,0.5363,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-24_11-56-51_claude-sonnet-4-6/summary.json,2026-04-24_11-56-51_claude-sonnet-4-6/results.jsonl,368fc8f111442bd94b6748dc9cb890fe90b7765e90acf5b07e71c9faadbf2503,3687abda1b29bd87901f32c8236589a865248ff76d0789ef59998184a5e1bf8b,800,800,429,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
3,Qwen/Qwen3-32B,vllm,canonical,2026-04-20T01:47:31.578632,2400,1257,0.5238,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-19_17-22-05_Qwen_Qwen3-32B/summary.json,2026-04-19_17-22-05_Qwen_Qwen3-32B/results.jsonl,c032f033a2dec5067458de752338df14366a0f1273a44ff3459b609f482e9f77,7c4ee0a9443f9faeb9536cbff917fd95049d97efad2e069e7565287fe9d81faf,2400,2400,1257,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
4,gemini-3-flash-preview,google,canonical,2026-04-24T13:00:33.552736,800,415,0.5188,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-24_12-01-37_gemini-3-flash-preview/summary.json,2026-04-24_12-01-37_gemini-3-flash-preview/results.jsonl,cf53129adacf2560a67e0954c5bf0a513ac49a84be4ede8c368eaeb3f103d429,6bbd13d67680b9d694fa10c0cf8c45a0d2f2e9d4ddac4914d8f8fe1bf7fc314c,800,800,415,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
5,Qwen/Qwen3-8B,vllm,canonical,2026-04-19T04:06:29.959431,2400,1192,0.4967,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-19_02-59-27_Qwen_Qwen3-8B/summary.json,2026-04-19_02-59-27_Qwen_Qwen3-8B/results.jsonl,9a2e26231006de26c3029f8923b351230cc53771cf5263598a69c03d03170d27,6cbeeb4bd7ae7575c82d549e482c54a35c798afdc51783cdb6f5ab47567454d6,2400,2400,1192,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
6,Qwen/Qwen3-4B,vllm,canonical,2026-04-19T00:55:12.303078,2400,1174,0.4892,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-18_23-57-12_Qwen_Qwen3-4B/summary.json,2026-04-18_23-57-12_Qwen_Qwen3-4B/results.jsonl,b486e164a4eedcb61d71152e64ba2a826ae3d2584934ec25cb4a3f6d04ce0fb7,8c500923b66325be8ec4ecf40b5e07233e1acfba0298726d4cf46c0c9cb02da8,2400,2400,1174,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
7,Qwen/Qwen3.5-27B,vllm,canonical,2026-04-19T14:58:53.648583,2400,1160,0.4833,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-19_10-56-38_Qwen_Qwen3.5-27B/summary.json,2026-04-19_10-56-38_Qwen_Qwen3.5-27B/results.jsonl,29c45a19cb651300d95f743d7dc51d139c74a3d70b4df804217d66ed24976e91,dc577e5be184c8fc31568ca2847140b4ec28fc731417f53c1fa20ee46a3cdb80,2400,2400,1160,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
8,Qwen/Qwen3.5-9B,vllm,canonical,2026-04-19T06:08:26.946659,2400,1127,0.4696,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-19_05-32-54_Qwen_Qwen3.5-9B/summary.json,2026-04-19_05-32-54_Qwen_Qwen3.5-9B/results.jsonl,37bab9ab7943b106a27016a6467f82d4cb0f759fac529b63ba9f9ddddb6c23db,b31689360f8a640fd69b0c6972383966d5d871ed2d7de0760489115c46c72534,2400,2400,1127,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
9,Qwen/Qwen2.5-32B-Instruct,vllm,canonical,2026-04-19T17:19:29.654137,2400,1103,0.4596,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-19_15-57-14_Qwen_Qwen2.5-32B-Instruct/summary.json,2026-04-19_15-57-14_Qwen_Qwen2.5-32B-Instruct/results.jsonl,1bdbcbf5f0a2201cd64398132fde3cc01098784742e2bfa3abd7716708792412,83727a618568527abe278b72d8998fabe82b9b81b918ee649cba6a18da74e69a,2400,2400,1103,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
10,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,vllm,canonical,2026-04-20T16:18:08.236329,2400,1094,0.4558,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-20_11-33-53_deepseek-ai_DeepSeek-R1-Distill-Qwen-32B/summary.json,2026-04-20_11-33-53_deepseek-ai_DeepSeek-R1-Distill-Qwen-32B/results.jsonl,cf55fb769543e4a605b59ed06dbdcbab0317f1c3aa0f175de1900ddda9ff976d,3f73fed7e29935b954b6cbf66cee5aca75c68cfa33203a38bdd49a5d70c1dcfe,2400,2400,1094,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
