row_id,model,provider,track,timestamp,aggregate_total_runs,aggregate_successful_runs,valid_jsonl_rows,redacted_rows_written,jsonl_successful_runs,malformed_jsonl_lines,recompute_status,exclusion_reason
1,Qwen/QwQ-32B,vllm,canonical,2026-04-20T11:31:30.545971,2400,1305,2400,2400,1305,0,reconciled,
2,claude-sonnet-4-6,anthropic,canonical,2026-04-24T12:15:37.324290,800,429,800,800,429,0,reconciled,
3,Qwen/Qwen3-32B,vllm,canonical,2026-04-20T01:47:31.578632,2400,1257,2400,2400,1257,0,reconciled,
4,gemini-3-flash-preview,google,canonical,2026-04-24T13:00:33.552736,800,415,800,800,415,0,reconciled,
5,Qwen/Qwen3-8B,vllm,canonical,2026-04-19T04:06:29.959431,2400,1192,2400,2400,1192,0,reconciled,
6,Qwen/Qwen3-4B,vllm,canonical,2026-04-19T00:55:12.303078,2400,1174,2400,2400,1174,0,reconciled,
7,Qwen/Qwen3.5-27B,vllm,canonical,2026-04-19T14:58:53.648583,2400,1160,2400,2400,1160,0,reconciled,
8,Qwen/Qwen3.5-9B,vllm,canonical,2026-04-19T06:08:26.946659,2400,1127,2400,2400,1127,0,reconciled,
9,Qwen/Qwen2.5-32B-Instruct,vllm,canonical,2026-04-19T17:19:29.654137,2400,1103,2400,2400,1103,0,reconciled,
10,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,vllm,canonical,2026-04-20T16:18:08.236329,2400,1094,2400,2400,1094,0,reconciled,
11,claude-haiku-4-5,anthropic,canonical,2026-04-24T12:09:10.439561,800,359,800,800,359,0,reconciled,
12,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,vllm,canonical,2026-04-19T09:22:56.354909,2400,1068,2400,2400,1068,0,reconciled,
13,Qwen/Qwen3.5-35B-A3B,vllm,canonical,2026-04-20T19:52:59.774820,2400,1044,2400,2400,1044,0,reconciled,
14,microsoft/Phi-4,vllm,canonical,2026-04-19T08:10:06.204736,2400,1020,2400,2400,1020,0,reconciled,
15,Qwen/Qwen3.5-4B,vllm,canonical,2026-04-19T01:22:18.650107,2400,990,2400,2400,990,0,reconciled,
16,Qwen/Qwen2.5-14B-Instruct,vllm,canonical,2026-04-19T07:34:11.971098,2400,970,2400,2400,970,0,reconciled,
17,gpt-5.4-mini,openai,canonical,2026-04-25T21:03:03.993903,800,325,800,800,325,0,reconciled,
18,google/gemma-4-31B-it,vllm,canonical,2026-04-19T15:54:50.744286,2400,979,2400,2400,979,0,reconciled,
19,gpt-5.4,openai,canonical,2026-04-25T20:48:26.386958,800,323,800,800,323,0,reconciled,
20,gemini-2.5-flash,google,canonical,2026-04-25T07:40:32.643956,800,319,800,800,319,0,reconciled,
21,mistralai/Mistral-Nemo-Instruct-2407,vllm,canonical,2026-04-19T06:58:28.480951,2400,859,2400,2400,859,0,reconciled,
22,Qwen/Qwen3.5-2B,vllm,canonical,2026-04-24T09:06:49.202287,2400,818,2400,2400,818,0,reconciled,
23,Qwen/Qwen2.5-7B-Instruct,vllm,canonical,2026-04-19T01:53:32.504718,2400,814,2400,2400,814,0,reconciled,
24,zai-org/GLM-4-32B-0414,vllm,canonical,2026-04-20T17:59:33.448636,2400,814,2400,2400,814,0,reconciled,
25,tiiuae/Falcon3-10B-Instruct,vllm,canonical,2026-04-19T06:40:02.149470,2400,723,2400,2400,723,0,reconciled,
26,Qwen/Qwen3-1.7B,vllm,canonical,2026-04-18T23:26:25.615745,2400,704,2400,2400,704,0,reconciled,
27,o4-mini,openai,canonical,2026-04-25T21:24:09.589086,800,220,800,800,220,0,reconciled,
28,allenai/Olmo-3-7B-Instruct,vllm,canonical,2026-04-19T02:57:32.298140,2400,640,2400,2400,640,0,reconciled,
29,openai/gpt-oss-120b,vllm,canonical,2026-04-25T08:13:21.624034,2400,648,2400,2400,648,0,reconciled,
30,tiiuae/Falcon3-7B-Instruct,vllm,canonical,2026-04-19T02:42:06.629422,2400,619,2400,2400,619,0,reconciled,
31,google/gemma-4-E2B-it,vllm,canonical,2026-04-18T23:41:31.851167,2400,610,2400,2400,610,0,reconciled,
32,o3-mini,openai,canonical,2026-04-20T21:39:59.432399,800,207,800,800,207,0,reconciled,
33,microsoft/Phi-4-mini-instruct,vllm,canonical,2026-04-19T01:37:48.544373,2400,617,2400,2400,617,0,reconciled,
34,openai/gpt-oss-20b,vllm,canonical,2026-04-24T11:26:45.297349,2400,607,2400,2400,607,0,reconciled,
35,google/gemma-4-E4B-it,vllm,canonical,2026-04-19T01:45:57.147345,2400,602,2400,2400,602,0,reconciled,
36,internlm/internlm3-8b-instruct,vllm,canonical,2026-04-19T05:29:09.192061,2400,536,2400,2400,536,0,reconciled,
37,openbmb/MiniCPM4-8B,vllm,canonical,2026-04-19T05:02:35.678679,2400,515,2400,2400,515,0,reconciled,
38,claude-sonnet-4-6,anthropic,open,2026-04-20T22:20:16.135477,800,315,800,800,315,0,reconciled,
39,meta-llama/Llama-3.1-8B-Instruct,vllm,canonical,2026-04-19T04:54:23.208894,2400,510,2400,2400,510,0,reconciled,
40,gpt-5.4,openai,open,2026-04-20T21:29:02.610984,800,305,800,800,305,0,reconciled,
41,google/gemma-4-26B-A4B-it,vllm,canonical,2026-04-19T10:37:20.878868,2400,468,2400,2400,468,0,reconciled,
42,Qwen/Qwen3-0.6B,vllm,canonical,2026-04-18T22:20:34.765317,2400,450,2400,2400,450,0,reconciled,
43,google/gemma-2-27b-it,vllm,canonical,2026-04-20T22:16:07.317035,2400,461,2400,2400,461,0,reconciled,
44,meta-llama/Llama-3.2-3B-Instruct,vllm,canonical,2026-04-18T23:49:05.745383,2400,451,2400,2400,451,0,reconciled,
45,Qwen/Qwen3.5-0.8B,vllm,canonical,2026-04-24T08:52:24.501079,2400,431,2400,2400,431,0,reconciled,
46,tiiuae/Falcon3-3B-Instruct,vllm,canonical,2026-04-18T23:55:21.590305,2400,391,2400,2400,391,0,reconciled,
47,google/gemma-2-9b-it,vllm,canonical,2026-04-20T21:41:32.767464,2400,360,2400,2400,360,0,reconciled,
48,claude-haiku-4-5-20251001,anthropic,canonical,2026-04-20T21:24:19.885260,800,117,800,800,117,0,reconciled,
49,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,vllm,canonical,2026-04-19T04:37:38.224877,2400,327,2400,2400,327,0,reconciled,
50,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,vllm,canonical,2026-04-19T02:28:14.252921,2400,331,2400,2400,331,0,reconciled,
51,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,vllm,canonical,2026-04-18T23:08:15.349238,2400,260,2400,2400,260,0,reconciled,
52,mistralai/Mistral-Small-3.2-24B-Instruct-2506,vllm,canonical,2026-04-19T10:19:06.720373,2400,253,2400,2400,253,0,reconciled,
53,mistralai/Mistral-Small-24B-Instruct-2501,vllm,canonical,2026-04-19T09:54:49.750836,2400,209,2400,2400,209,0,reconciled,
54,meta-llama/Llama-3.2-1B-Instruct,vllm,canonical,2026-04-18T22:43:55.117429,2400,138,2400,2400,138,0,reconciled,
55,gemini-3.1-pro-preview,google,canonical,2026-04-24T11:58:59.308395,800,38,842,0,5,1,excluded_nonrecomputable,"Matched raw results.jsonl is corrupted/inconsistent with the aggregate summary: 842 valid JSON rows + 1 malformed line with 5 successes, while summary/main_results report 800 rows and 38 successes. No clean replacement source was found during Round 6."
56,tiiuae/Falcon3-1B-Instruct,vllm,canonical,2026-04-20T21:33:46.566072,2400,0,2400,2400,0,0,reconciled,
57,01-ai/Yi-1.5-34B-Chat,vllm,canonical,2026-04-20T22:19:05.613354,2400,0,2400,2400,0,0,reconciled,
58,allenai/OLMo-2-1124-13B-Instruct,vllm,canonical,2026-04-20T21:44:08.131819,2400,0,2400,2400,0,0,reconciled,
