scenario_id,split,information,action,path,flags,instruction_features,constraint_features,numeric_mentions,instruction
NLEB-CX-AT-004,dev,context,atomic,feasible/context/atomic/dev/NLEB-CX-AT-004.yaml,split_position_without_position_constraint,split_position,,,The hero shot needs to be split at the halfway mark — there's a natural cut point there.
NLEB-CX-AT-007,dev,context,atomic,feasible/context/atomic/dev/NLEB-CX-AT-007.yaml,time_mention_without_time_constraint;caption_or_title_time_coverage_candidate,caption_or_title;numeric;time,,6 dB;5s,Lower the background music by 6 dB — the dialogue needs room. Also add a subtitle caption at 5s saying 'Interview begins'.
NLEB-CX-AT-010,dev,context,atomic,feasible/context/atomic/dev/NLEB-CX-AT-010.yaml,time_mention_without_time_constraint;split_position_without_position_constraint,numeric;split_position;time,,2;0.8x,Create a new video track for the overlay layer. The B-roll footage on V2 needs to be split — cut the later overlay at the 2-second mark. And slow the hero shot to 0.8x for emphasis.
NLEB-CX-AT-014,test,context,atomic,feasible/context/atomic/test/NLEB-CX-AT-014.yaml,time_mention_without_time_constraint;caption_or_title_time_coverage_candidate,caption_or_title;time,,,The ending credits are missing — add a caption saying 'The End' at the end of the timeline.
NLEB-CX-AT-015,test,context,atomic,feasible/context/atomic/test/NLEB-CX-AT-015.yaml,time_mention_without_time_constraint;caption_or_title_time_coverage_candidate,caption_or_title;time,,,The title card at the beginning is outdated — remove the existing caption.
NLEB-CX-AT-036,test,context,atomic,feasible/context/atomic/test/NLEB-CX-AT-036.yaml,time_mention_without_time_constraint;split_position_without_position_constraint,numeric;split_position;time,,2,The outro segment is too long — split it at the 2-second mark. And add a saturation effect to the closing shot (intro clip).
NLEB-CX-AT-038,test,context,atomic,feasible/context/atomic/test/NLEB-CX-AT-038.yaml,time_mention_without_time_constraint;spatial_position_without_position_constraint;caption_or_title_time_coverage_candidate,caption_or_title;numeric;spatial_position;time,,0.9;20s,Outro: opacity 0.9. Add lower-third text 'Thanks for watching' at 20s.
NLEB-CX-AT-040,test,context,atomic,feasible/context/atomic/test/NLEB-CX-AT-040.yaml,time_mention_without_time_constraint;caption_or_title_time_coverage_candidate,caption_or_title;numeric;time,,3,The intro-to-middle cut needs a cross-dissolve transition. And add a scene title 'Part One' at the 3-second mark.
NLEB-CX-CO-001,dev,context,compound,feasible/context/compound/dev/NLEB-CX-CO-001.yaml,time_mention_without_time_constraint;caption_or_title_time_coverage_candidate,caption_or_title;numeric;time,preservation,1.15;0s,"The intro needs to pop: scale it to 1.15, add a contrast effect, and place a title card caption 'Welcome' at 0s."
NLEB-CX-CO-003,dev,context,compound,feasible/context/compound/dev/NLEB-CX-CO-003.yaml,time_mention_without_time_constraint;split_position_without_position_constraint,numeric;split_position;time,,5,The hero shot runs long — split it at the 5-second mark and add a saturation effect to the second half.
