scenario_id,split,feasibility,information,action,path,constraint_count,directions,fields,likely_numeric_constraints
NLEB-CX-AT-007,dev,feasible,context,atomic,feasible/context/atomic/dev/NLEB-CX-AT-007.yaml,1,decrease,audio.volume,1
NLEB-CX-AT-008,dev,feasible,context,atomic,feasible/context/atomic/dev/NLEB-CX-AT-008.yaml,1,decrease,timeline_start,1
NLEB-CX-AT-031,test,feasible,context,atomic,feasible/context/atomic/test/NLEB-CX-AT-031.yaml,1,decrease,audio.volume,1
NLEB-CX-AT-035,test,feasible,context,atomic,feasible/context/atomic/test/NLEB-CX-AT-035.yaml,1,increase,audio.volume,1
NLEB-CX-AT-037,test,feasible,context,atomic,feasible/context/atomic/test/NLEB-CX-AT-037.yaml,1,decrease,timeline_start,1
NLEB-CX-CO-004,dev,feasible,context,compound,feasible/context/compound/dev/NLEB-CX-CO-004.yaml,1,increase,timeline_start,1
NLEB-CX-CO-008,dev,feasible,context,compound,feasible/context/compound/dev/NLEB-CX-CO-008.yaml,1,decrease,audio.volume,1
NLEB-CX-CO-022,test,feasible,context,compound,feasible/context/compound/test/NLEB-CX-CO-022.yaml,1,decrease,audio.volume,1
NLEB-CX-CO-028,test,feasible,context,compound,feasible/context/compound/test/NLEB-CX-CO-028.yaml,1,decrease,audio.volume,1
NLEB-CX-CO-030,test,feasible,context,compound,feasible/context/compound/test/NLEB-CX-CO-030.yaml,1,decrease,timeline_start,1
NLEB-CX-CU-005,dev,feasible,context,cumulative,feasible/context/cumulative/dev/NLEB-CX-CU-005.yaml,1,decrease,audio.volume,1
NLEB-CX-CU-009,dev,feasible,context,cumulative,feasible/context/cumulative/dev/NLEB-CX-CU-009.yaml,1,decrease,audio.volume,1
NLEB-CX-CU-014,test,feasible,context,cumulative,feasible/context/cumulative/test/NLEB-CX-CU-014.yaml,1,decrease,audio.volume,1
NLEB-CX-CU-022,test,feasible,context,cumulative,feasible/context/cumulative/test/NLEB-CX-CU-022.yaml,1,decrease,timeline_start,1
NLEB-CX-CU-023,test,feasible,context,cumulative,feasible/context/cumulative/test/NLEB-CX-CU-023.yaml,1,decrease,audio.volume,1
NLEB-CX-CU-026,test,feasible,context,cumulative,feasible/context/cumulative/test/NLEB-CX-CU-026.yaml,1,decrease,audio.volume,1
