model,provider,track,total_runs,successful_runs,sr,timestamp
Qwen/QwQ-32B,vllm,canonical,2400,1305,0.5437,2026-04-20T11:31:30.545971
claude-sonnet-4-6,anthropic,canonical,800,429,0.5363,2026-04-24T12:15:37.324290
Qwen/Qwen3-32B,vllm,canonical,2400,1257,0.5238,2026-04-20T01:47:31.578632
gemini-3-flash-preview,google,canonical,800,415,0.5188,2026-04-24T13:00:33.552736
Qwen/Qwen3-8B,vllm,canonical,2400,1192,0.4967,2026-04-19T04:06:29.959431
Qwen/Qwen3-4B,vllm,canonical,2400,1174,0.4892,2026-04-19T00:55:12.303078
Qwen/Qwen3.5-27B,vllm,canonical,2400,1160,0.4833,2026-04-19T14:58:53.648583
Qwen/Qwen3.5-9B,vllm,canonical,2400,1127,0.4696,2026-04-19T06:08:26.946659
Qwen/Qwen2.5-32B-Instruct,vllm,canonical,2400,1103,0.4596,2026-04-19T17:19:29.654137
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,vllm,canonical,2400,1094,0.4558,2026-04-20T16:18:08.236329
claude-haiku-4-5,anthropic,canonical,800,359,0.4487,2026-04-24T12:09:10.439561
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,vllm,canonical,2400,1068,0.445,2026-04-19T09:22:56.354909
Qwen/Qwen3.5-35B-A3B,vllm,canonical,2400,1044,0.435,2026-04-20T19:52:59.774820
microsoft/Phi-4,vllm,canonical,2400,1020,0.425,2026-04-19T08:10:06.204736
Qwen/Qwen3.5-4B,vllm,canonical,2400,990,0.4125,2026-04-19T01:22:18.650107
Qwen/Qwen2.5-14B-Instruct,vllm,canonical,2400,970,0.4042,2026-04-19T07:34:11.971098
gpt-5.4-mini,openai,canonical,800,325,0.4062,2026-04-25T21:03:03.993903
google/gemma-4-31B-it,vllm,canonical,2400,979,0.4079,2026-04-19T15:54:50.744286
gpt-5.4,openai,canonical,800,323,0.4037,2026-04-25T20:48:26.386958
gemini-2.5-flash,google,canonical,800,319,0.3987,2026-04-25T07:40:32.643956
mistralai/Mistral-Nemo-Instruct-2407,vllm,canonical,2400,859,0.3579,2026-04-19T06:58:28.480951
Qwen/Qwen3.5-2B,vllm,canonical,2400,818,0.3408,2026-04-24T09:06:49.202287
Qwen/Qwen2.5-7B-Instruct,vllm,canonical,2400,814,0.3392,2026-04-19T01:53:32.504718
zai-org/GLM-4-32B-0414,vllm,canonical,2400,814,0.3392,2026-04-20T17:59:33.448636
tiiuae/Falcon3-10B-Instruct,vllm,canonical,2400,723,0.3013,2026-04-19T06:40:02.149470
Qwen/Qwen3-1.7B,vllm,canonical,2400,704,0.2933,2026-04-18T23:26:25.615745
o4-mini,openai,canonical,800,220,0.275,2026-04-25T21:24:09.589086
allenai/Olmo-3-7B-Instruct,vllm,canonical,2400,640,0.2667,2026-04-19T02:57:32.298140
openai/gpt-oss-120b,vllm,canonical,2400,648,0.27,2026-04-25T08:13:21.624034
tiiuae/Falcon3-7B-Instruct,vllm,canonical,2400,619,0.2579,2026-04-19T02:42:06.629422
google/gemma-4-E2B-it,vllm,canonical,2400,610,0.2542,2026-04-18T23:41:31.851167
o3-mini,openai,canonical,800,207,0.2587,2026-04-20T21:39:59.432399
microsoft/Phi-4-mini-instruct,vllm,canonical,2400,617,0.2571,2026-04-19T01:37:48.544373
openai/gpt-oss-20b,vllm,canonical,2400,607,0.2529,2026-04-24T11:26:45.297349
google/gemma-4-E4B-it,vllm,canonical,2400,602,0.2508,2026-04-19T01:45:57.147345
internlm/internlm3-8b-instruct,vllm,canonical,2400,536,0.2233,2026-04-19T05:29:09.192061
openbmb/MiniCPM4-8B,vllm,canonical,2400,515,0.2146,2026-04-19T05:02:35.678679
claude-sonnet-4-6,anthropic,open,800,315,0.3937,2026-04-20T22:20:16.135477
meta-llama/Llama-3.1-8B-Instruct,vllm,canonical,2400,510,0.2125,2026-04-19T04:54:23.208894
gpt-5.4,openai,open,800,305,0.3812,2026-04-20T21:29:02.610984
google/gemma-4-26B-A4B-it,vllm,canonical,2400,468,0.195,2026-04-19T10:37:20.878868
Qwen/Qwen3-0.6B,vllm,canonical,2400,450,0.1875,2026-04-18T22:20:34.765317
google/gemma-2-27b-it,vllm,canonical,2400,461,0.1921,2026-04-20T22:16:07.317035
meta-llama/Llama-3.2-3B-Instruct,vllm,canonical,2400,451,0.1879,2026-04-18T23:49:05.745383
Qwen/Qwen3.5-0.8B,vllm,canonical,2400,431,0.1796,2026-04-24T08:52:24.501079
tiiuae/Falcon3-3B-Instruct,vllm,canonical,2400,391,0.1629,2026-04-18T23:55:21.590305
google/gemma-2-9b-it,vllm,canonical,2400,360,0.15,2026-04-20T21:41:32.767464
claude-haiku-4-5-20251001,anthropic,canonical,800,117,0.1462,2026-04-20T21:24:19.885260
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,vllm,canonical,2400,327,0.1363,2026-04-19T04:37:38.224877
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,vllm,canonical,2400,331,0.1379,2026-04-19T02:28:14.252921
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,vllm,canonical,2400,260,0.1083,2026-04-18T23:08:15.349238
mistralai/Mistral-Small-3.2-24B-Instruct-2506,vllm,canonical,2400,253,0.1054,2026-04-19T10:19:06.720373
mistralai/Mistral-Small-24B-Instruct-2501,vllm,canonical,2400,209,0.0871,2026-04-19T09:54:49.750836
meta-llama/Llama-3.2-1B-Instruct,vllm,canonical,2400,138,0.0575,2026-04-18T22:43:55.117429
gemini-3.1-pro-preview,google,canonical,800,38,0.0475,2026-04-24T11:58:59.308395
tiiuae/Falcon3-1B-Instruct,vllm,canonical,2400,0,0,2026-04-20T21:33:46.566072
01-ai/Yi-1.5-34B-Chat,vllm,canonical,2400,0,0,2026-04-20T22:19:05.613354
allenai/OLMo-2-1124-13B-Instruct,vllm,canonical,2400,0,0,2026-04-20T21:44:08.131819
