human_study_id,layer,rater,scenario_id,legacy_scenario_id,provenance,response_match,created_at,updated_at,source_evaluator_sha256
553,l1,annotator_a,NLEB-AM-CX-001,NLB-v3-AM-CX-001,snapshot_recovered,True,2026-04-17T13:04:16.035Z,2026-04-17T13:04:16.035Z,9251f129e36d22db1b07c86a83bc9268948d98bd80be3b9c6eb8c48ed0ef22ac
,l1,unmatched,NLEB-AM-CX-001,NLB-v3-AM-CX-001,snapshot_recovered,True,2026-04-12T16:21:14.103Z,,593cbf1d045288bd7a3639edf1748ee40410f494bf15f0b823d82b96fdd59cac
1020,l1,annotator_b,NLEB-AM-CX-001,NLB-v3-AM-CX-001,snapshot_recovered,True,2026-04-19T10:00:34.527Z,2026-04-19T10:00:34.527Z,37a680133bd09342f934afb8dd2c7d9e1b624da5f35e3a38adb103e37c055ed1
658,l1,annotator_c,NLEB-AM-CX-001,NLB-v3-AM-CX-001,snapshot_recovered,True,2026-04-18T06:31:21.972Z,2026-04-18T06:31:21.972Z,69947b617400538cbd45fa09eed692ec68bef8e2f19d63bda5e7cb9e7a9d4178
490,l1,annotator_a,NLEB-AM-CX-002,NLB-v3-AM-CX-002,snapshot_recovered,True,2026-04-17T11:26:24.220Z,2026-04-17T11:26:24.220Z,9251f129e36d22db1b07c86a83bc9268948d98bd80be3b9c6eb8c48ed0ef22ac
954,l1,annotator_b,NLEB-AM-CX-002,NLB-v3-AM-CX-002,snapshot_recovered,True,2026-04-18T23:38:40.931Z,2026-04-18T23:38:40.931Z,37a680133bd09342f934afb8dd2c7d9e1b624da5f35e3a38adb103e37c055ed1
596,l1,annotator_c,NLEB-AM-CX-002,NLB-v3-AM-CX-002,snapshot_recovered,True,2026-04-18T05:32:25.988Z,2026-04-18T05:32:25.988Z,69947b617400538cbd45fa09eed692ec68bef8e2f19d63bda5e7cb9e7a9d4178
520,l1,annotator_a,NLEB-AM-CX-003,NLB-v3-AM-CX-003,snapshot_recovered,True,2026-04-17T12:26:04.896Z,2026-04-17T12:26:04.896Z,9251f129e36d22db1b07c86a83bc9268948d98bd80be3b9c6eb8c48ed0ef22ac
983,l1,annotator_b,NLEB-AM-CX-003,NLB-v3-AM-CX-003,snapshot_recovered,True,2026-04-19T08:46:34.027Z,2026-04-19T08:46:34.027Z,37a680133bd09342f934afb8dd2c7d9e1b624da5f35e3a38adb103e37c055ed1
625,l1,annotator_c,NLEB-AM-CX-003,NLB-v3-AM-CX-003,snapshot_recovered,True,2026-04-18T06:09:55.307Z,2026-04-18T06:09:55.307Z,69947b617400538cbd45fa09eed692ec68bef8e2f19d63bda5e7cb9e7a9d4178
555,l1,annotator_a,NLEB-AM-CX-004,NLB-v3-AM-CX-004,snapshot_recovered,True,2026-04-17T13:05:11.364Z,2026-04-17T13:05:11.364Z,9251f129e36d22db1b07c86a83bc9268948d98bd80be3b9c6eb8c48ed0ef22ac
1022,l1,annotator_b,NLEB-AM-CX-004,NLB-v3-AM-CX-004,snapshot_recovered,True,2026-04-19T10:04:02.328Z,2026-04-19T10:04:02.328Z,37a680133bd09342f934afb8dd2c7d9e1b624da5f35e3a38adb103e37c055ed1
660,l1,annotator_c,NLEB-AM-CX-004,NLB-v3-AM-CX-004,snapshot_recovered,True,2026-04-18T06:31:47.624Z,2026-04-18T06:31:47.624Z,69947b617400538cbd45fa09eed692ec68bef8e2f19d63bda5e7cb9e7a9d4178
504,l1,annotator_a,NLEB-AM-CX-005,NLB-v3-AM-CX-005,snapshot_recovered,True,2026-04-17T11:52:04.800Z,2026-04-17T11:52:04.800Z,9251f129e36d22db1b07c86a83bc9268948d98bd80be3b9c6eb8c48ed0ef22ac
967,l1,annotator_b,NLEB-AM-CX-005,NLB-v3-AM-CX-005,snapshot_recovered,True,2026-04-19T08:17:03.249Z,2026-04-19T08:17:03.249Z,37a680133bd09342f934afb8dd2c7d9e1b624da5f35e3a38adb103e37c055ed1
609,l1,annotator_c,NLEB-AM-CX-005,NLB-v3-AM-CX-005,snapshot_recovered,True,2026-04-18T05:54:33.661Z,2026-04-18T05:54:33.661Z,69947b617400538cbd45fa09eed692ec68bef8e2f19d63bda5e7cb9e7a9d4178
510,l1,annotator_a,NLEB-AM-DI-001,NLB-v3-AM-DI-001,snapshot_recovered,True,2026-04-17T12:00:25.236Z,2026-04-17T12:00:25.236Z,9251f129e36d22db1b07c86a83bc9268948d98bd80be3b9c6eb8c48ed0ef22ac
973,l1,annotator_b,NLEB-AM-DI-001,NLB-v3-AM-DI-001,snapshot_recovered,True,2026-04-19T08:27:48.632Z,2026-04-19T08:27:48.632Z,37a680133bd09342f934afb8dd2c7d9e1b624da5f35e3a38adb103e37c055ed1
615,l1,annotator_c,NLEB-AM-DI-001,NLB-v3-AM-DI-001,snapshot_recovered,True,2026-04-18T06:02:54.360Z,2026-04-18T06:02:54.360Z,69947b617400538cbd45fa09eed692ec68bef8e2f19d63bda5e7cb9e7a9d4178
2069,l1,annotator_a,NLEB-AM-DI-002,NLB-v3-AM-DI-002,snapshot_recovered,True,2026-04-21T08:28:03.839Z,2026-04-21T08:28:03.839Z,9251f129e36d22db1b07c86a83bc9268948d98bd80be3b9c6eb8c48ed0ef22ac
1003,l1,annotator_b,NLEB-AM-DI-002,NLB-v3-AM-DI-002,snapshot_recovered,True,2026-04-19T09:29:54.838Z,2026-04-19T09:29:54.838Z,37a680133bd09342f934afb8dd2c7d9e1b624da5f35e3a38adb103e37c055ed1
2183,l1,annotator_c,NLEB-AM-DI-002,NLB-v3-AM-DI-002,snapshot_recovered,True,2026-04-21T09:09:09.336Z,2026-04-21T09:09:09.336Z,69947b617400538cbd45fa09eed692ec68bef8e2f19d63bda5e7cb9e7a9d4178
2043,l1,annotator_a,NLEB-AM-DI-003,NLB-v3-AM-DI-003,snapshot_recovered,True,2026-04-21T08:22:04.106Z,2026-04-21T08:22:04.106Z,9251f129e36d22db1b07c86a83bc9268948d98bd80be3b9c6eb8c48ed0ef22ac
955,l1,annotator_b,NLEB-AM-DI-003,NLB-v3-AM-DI-003,snapshot_recovered,True,2026-04-18T23:39:05.874Z,2026-04-18T23:39:05.874Z,37a680133bd09342f934afb8dd2c7d9e1b624da5f35e3a38adb103e37c055ed1
2158,l1,annotator_c,NLEB-AM-DI-003,NLB-v3-AM-DI-003,snapshot_recovered,True,2026-04-21T08:59:27.840Z,2026-04-21T08:59:27.840Z,69947b617400538cbd45fa09eed692ec68bef8e2f19d63bda5e7cb9e7a9d4178
2003,l1,annotator_a,NLEB-AM-DI-004,NLB-v3-AM-DI-004,snapshot_recovered,True,2026-04-21T08:06:17.290Z,2026-04-21T08:06:17.290Z,9251f129e36d22db1b07c86a83bc9268948d98bd80be3b9c6eb8c48ed0ef22ac
737,l1,annotator_b,NLEB-AM-DI-004,NLB-v3-AM-DI-004,snapshot_recovered,True,2026-04-18T09:31:09.476Z,2026-04-18T09:31:09.476Z,37a680133bd09342f934afb8dd2c7d9e1b624da5f35e3a38adb103e37c055ed1
38,l1,annotator_c,NLEB-AM-DI-004,NLB-v3-AM-DI-004,snapshot_recovered,True,2026-04-16T06:59:59.886Z,2026-04-16T06:59:59.886Z,69947b617400538cbd45fa09eed692ec68bef8e2f19d63bda5e7cb9e7a9d4178
1991,l1,annotator_a,NLEB-AM-DI-005,NLB-v3-AM-DI-005,snapshot_recovered,True,2026-04-21T07:59:56.394Z,2026-04-21T07:59:56.394Z,9251f129e36d22db1b07c86a83bc9268948d98bd80be3b9c6eb8c48ed0ef22ac
428,l1,annotator_b,NLEB-AM-DI-005,NLB-v3-AM-DI-005,snapshot_recovered,True,2026-04-17T10:11:14.060Z,2026-04-17T10:11:14.060Z,37a680133bd09342f934afb8dd2c7d9e1b624da5f35e3a38adb103e37c055ed1
2035,l1,annotator_c,NLEB-AM-DI-005,NLB-v3-AM-DI-005,snapshot_recovered,True,2026-04-21T08:15:48.336Z,2026-04-21T08:15:48.336Z,69947b617400538cbd45fa09eed692ec68bef8e2f19d63bda5e7cb9e7a9d4178
407,l1,annotator_a,NLEB-AM-EX-001,NLB-v3-AM-EX-001,snapshot_recovered,True,2026-04-17T10:03:01.906Z,2026-04-17T10:03:01.906Z,9251f129e36d22db1b07c86a83bc9268948d98bd80be3b9c6eb8c48ed0ef22ac
789,l1,annotator_b,NLEB-AM-EX-001,NLB-v3-AM-EX-001,snapshot_recovered,True,2026-04-18T10:25:08.006Z,2026-04-18T10:25:08.006Z,37a680133bd09342f934afb8dd2c7d9e1b624da5f35e3a38adb103e37c055ed1
60,l1,annotator_c,NLEB-AM-EX-001,NLB-v3-AM-EX-001,snapshot_recovered,True,2026-04-16T07:44:34.030Z,2026-04-16T07:44:34.030Z,69947b617400538cbd45fa09eed692ec68bef8e2f19d63bda5e7cb9e7a9d4178
517,l1,annotator_a,NLEB-AM-EX-002,NLB-v3-AM-EX-002,snapshot_recovered,True,2026-04-17T12:25:24.564Z,2026-04-17T12:25:24.564Z,9251f129e36d22db1b07c86a83bc9268948d98bd80be3b9c6eb8c48ed0ef22ac
980,l1,annotator_b,NLEB-AM-EX-002,NLB-v3-AM-EX-002,snapshot_recovered,True,2026-04-19T08:40:58.892Z,2026-04-19T08:40:58.892Z,37a680133bd09342f934afb8dd2c7d9e1b624da5f35e3a38adb103e37c055ed1
622,l1,annotator_c,NLEB-AM-EX-002,NLB-v3-AM-EX-002,snapshot_recovered,True,2026-04-18T06:08:10.329Z,2026-04-18T06:08:10.329Z,69947b617400538cbd45fa09eed692ec68bef8e2f19d63bda5e7cb9e7a9d4178
321,l1,annotator_a,NLEB-AM-EX-003,NLB-v3-AM-EX-003,snapshot_recovered,True,2026-04-17T08:21:10.912Z,2026-04-17T08:21:10.912Z,9251f129e36d22db1b07c86a83bc9268948d98bd80be3b9c6eb8c48ed0ef22ac
752,l1,annotator_b,NLEB-AM-EX-003,NLB-v3-AM-EX-003,snapshot_recovered,True,2026-04-18T09:40:17.462Z,2026-04-18T09:40:17.462Z,37a680133bd09342f934afb8dd2c7d9e1b624da5f35e3a38adb103e37c055ed1
44,l1,annotator_c,NLEB-AM-EX-003,NLB-v3-AM-EX-003,snapshot_recovered,True,2026-04-16T07:04:27.880Z,2026-04-16T07:04:27.880Z,69947b617400538cbd45fa09eed692ec68bef8e2f19d63bda5e7cb9e7a9d4178
452,l1,annotator_a,NLEB-AM-EX-004,NLB-v3-AM-EX-004,snapshot_recovered,True,2026-04-17T10:41:25.492Z,2026-04-17T10:41:25.492Z,9251f129e36d22db1b07c86a83bc9268948d98bd80be3b9c6eb8c48ed0ef22ac
916,l1,annotator_b,NLEB-AM-EX-004,NLB-v3-AM-EX-004,snapshot_recovered,True,2026-04-18T21:56:50.077Z,2026-04-18T21:56:50.077Z,37a680133bd09342f934afb8dd2c7d9e1b624da5f35e3a38adb103e37c055ed1
74,l1,annotator_c,NLEB-AM-EX-004,NLB-v3-AM-EX-004,snapshot_recovered,True,2026-04-16T07:56:23.426Z,2026-04-16T07:56:23.426Z,69947b617400538cbd45fa09eed692ec68bef8e2f19d63bda5e7cb9e7a9d4178
582,l1,annotator_a,NLEB-AM-EX-005,NLB-v3-AM-EX-005,snapshot_recovered,True,2026-04-17T13:23:34.782Z,2026-04-17T13:23:34.782Z,9251f129e36d22db1b07c86a83bc9268948d98bd80be3b9c6eb8c48ed0ef22ac
1050,l1,annotator_b,NLEB-AM-EX-005,NLB-v3-AM-EX-005,snapshot_recovered,True,2026-04-19T10:35:16.648Z,2026-04-19T10:35:16.648Z,37a680133bd09342f934afb8dd2c7d9e1b624da5f35e3a38adb103e37c055ed1
687,l1,annotator_c,NLEB-AM-EX-005,NLB-v3-AM-EX-005,snapshot_recovered,True,2026-04-18T06:45:20.502Z,2026-04-18T06:45:20.502Z,69947b617400538cbd45fa09eed692ec68bef8e2f19d63bda5e7cb9e7a9d4178
535,l1,annotator_a,NLEB-AM-ST-001,NLB-v3-AM-ST-001,snapshot_recovered,True,2026-04-17T12:46:48.767Z,2026-04-17T12:46:48.767Z,9251f129e36d22db1b07c86a83bc9268948d98bd80be3b9c6eb8c48ed0ef22ac
1001,l1,annotator_b,NLEB-AM-ST-001,NLB-v3-AM-ST-001,snapshot_recovered,True,2026-04-19T09:28:30.058Z,2026-04-19T09:28:30.058Z,37a680133bd09342f934afb8dd2c7d9e1b624da5f35e3a38adb103e37c055ed1
640,l1,annotator_c,NLEB-AM-ST-001,NLB-v3-AM-ST-001,snapshot_recovered,True,2026-04-18T06:19:39.341Z,2026-04-18T06:19:39.341Z,69947b617400538cbd45fa09eed692ec68bef8e2f19d63bda5e7cb9e7a9d4178
513,l1,annotator_a,NLEB-AM-ST-002,NLB-v3-AM-ST-002,snapshot_recovered,True,2026-04-17T12:24:12.097Z,2026-04-17T12:24:12.097Z,9251f129e36d22db1b07c86a83bc9268948d98bd80be3b9c6eb8c48ed0ef22ac
976,l1,annotator_b,NLEB-AM-ST-002,NLB-v3-AM-ST-002,snapshot_recovered,True,2026-04-19T08:30:11.609Z,2026-04-19T08:30:11.609Z,37a680133bd09342f934afb8dd2c7d9e1b624da5f35e3a38adb103e37c055ed1
